5, 1-connected, cn, true, 826, 20
5, 1-connected, cm, true, 6911, 21
5, 1-connected, nl, true, 976, 22
5, 1-connected, gt, true, 1053, 23
5, 1-connected, mx, true, 2240, 24
5, 1-connected, cn, true, 634, 25
5, 1-connected, cm, true, 4370, 26
5, 1-connected, nl, true, 835, 27
5, 1-connected, gt, true, 1343, 28
5, 1-connected, mx, true, 2141, 29
5, 1-connected, cn, true, 720, 30
5, 1-connected, cm, true, 4147, 31
5, 1-connected, nl, true, 1433, 32
5, 1-connected, gt, true, 1332, 33
5, 1-connected, mx, true, 3237, 34
5, 1-connected, cn, true, 763, 35
5, 1-connected, cm, false, 2970, 36
5, 1-connected, nl, true, 1305, 37
5, 1-connected, gt, true, 720, 38
5, 1-connected, mx, true, 3554, 39
5, 1-connected, cn, true, 751, 40
5, 2-connected, cm, false, 5206, 41
5, 2-connected, nl, true, 3324, 42
5, 2-connected, gt, true, 1390, 43
5, 2-connected, mx, false, 8781, 44
5, 2-connected, cn, true, 5220, 45
5, 2-connected, cm, false, 8344, 46
5, 2-connected, nl, true, 2830, 47
5, 2-connected, gt, true, 1911, 48
5, 2-connected, mx, true, 6009, 49
5, 2-connected, cn, true, 1342, 50
5, 2-connected, cm, true, 8241, 51
5, 2-connected, nl, true, 4659, 52
5, 2-connected, gt, true, 1777, 53
5, 2-connected, mx, true, 8016, 54
5, 2-connected, cn, true, 7787, 55
5, 2-connected, cm, false, 9047, 56
5, 2-connected, nl, true, 4619, 57
5, 2-connected, gt, true, 1260, 58
5, 2-connected, mx, false, 8650, 59
5, 2-connected, cn, true, 6093, 60
5, 2-connected, cm, false, 8075, 61
5, 2-connected, nl, true, 1692, 62
5, 2-connected, gt, true, 992, 63
5, 2-connected, mx, false, 8151, 64
5, 2-connected, cn, true, 4070, 65
5, 2-connected, cm, true, 2726, 66
5, 2-connected, nl, true, 4306, 67
5, 2-connected, gt, true, 1407, 68
5, 2-connected, mx, false, 2920, 69
5, 2-connected, cn, true, 966, 70
5, 2-connected, cm, true, 7736, 71
5, 2-connected, nl, true, 3716, 72
5, 2-connected, gt, true, 1318, 73
5, 2-connected, mx, true, 6583, 74
5, 2-connected, cn, true, 2023, 75
5, 2-connected, cm, false, 7549, 76
5, 2-connected, nl, true, 3009, 77
5, 2-connected, gt, true, 808, 78
5, 2-connected, mx, true, 4256, 79
5, 2-connected, cn, true, 2268, 80
5, match, gt, true, 7347, 131
5, match, mx, false, 9872, 132
